DEBUG 2018-01-23 15:59:49,968 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.Species.ISpecieCategoryAppService' with service name 'app/specieCategory'.
DEBUG 2018-01-23 15:59:49,970 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.Roles.IRoleAppService' with service name 'app/role'.
DEBUG 2018-01-23 15:59:49,972 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.RevenueSources.IRefSubRevenueSourceAppService' with service name 'app/refSubRevenueSource'.
DEBUG 2018-01-23 15:59:49,973 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.RevenueSources.IRevenueSourceAppService' with service name 'app/revenueSource'.
DEBUG 2018-01-23 15:59:49,974 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.Registration.ICandidateAppService' with service name 'app/candidate'.
DEBUG 2018-01-23 15:59:49,975 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.Registration.IDealerActivityAppService' with service name 'app/dealerActivity'.
DEBUG 2018-01-23 15:59:49,978 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.RefTables.Interface.IRefApplicationTypeAppService' with service name 'app/refApplicationType'.
DEBUG 2018-01-23 15:59:49,980 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.RefTables.Interface.IRefIdentityAppService' with service name 'app/refIdentity'.
DEBUG 2018-01-23 15:59:49,981 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.PlotScalling.IHarvestingPlanAppService' with service name 'app/harvestingPlan'.
DEBUG 2018-01-23 15:59:49,982 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.PlotScalling.ITallySheetAppService' with service name 'app/tallySheet'.
DEBUG 2018-01-23 15:59:49,983 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.PlotScalling.ICompartmentAppService' with service name 'app/compartment'.
DEBUG 2018-01-23 15:59:49,985 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.PlotScalling.IPlotAppService' with service name 'app/plot'.
DEBUG 2018-01-23 15:59:49,986 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.MultiTenancy.ITenantAppService' with service name 'app/tenant'.
DEBUG 2018-01-23 15:59:49,987 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.Licensing.IAllocatedPlotAppService' with service name 'app/allocatedPlot'.
DEBUG 2018-01-23 15:59:49,988 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.Licensing.ILicenseAppService' with service name 'app/license'.
DEBUG 2018-01-23 15:59:49,989 [1    ] Abp.Logging.LogHelper                    - Dynamic web api controller is created for type 'Misitu.FinancialYears.IFinancialYearAppService' with service name 'app/financialYear'.
